time,motion,body position,BR derived by Belt,HR derived by ECG,Belt Quality,ECG Quality,HR confidence,BR confidence,Skin Temperature,Day,DF
21:35:18,1,40,38.2,109.7,78,100,92,70,33.7,03_Mar_2015,
21:35:23,1,40,38.2,107.1,78,100,92,70,33.7,03_Mar_2015,
21:35:28,1,40,38.7,108.5,73,100,95,65,33.7,03_Mar_2015,
21:35:33,1,40,38.7,106.8,73,100,95,65,33.8,03_Mar_2015,
21:35:38,1,40,38.7,104,73,100,95,65,33.8,03_Mar_2015,
21:35:43,1,40,39.1,101.6,78,100,97,70,33.8,03_Mar_2015,
21:35:48,1,40,39.1,101.4,78,100,97,70,33.9,03_Mar_2015,
21:35:53,1,40,39.1,100,78,100,97,70,33.9,03_Mar_2015,
21:35:58,1,40,38.4,100.3,82,100,98,73,33.9,03_Mar_2015,
21:36:03,1,40,38.4,101.5,82,100,98,73,33.9,03_Mar_2015,
21:36:08,1,40,38.4,104.2,82,100,98,73,33.9,03_Mar_2015,
21:36:13,1,40,32.5,103.4,90,100,99,81,33.9,03_Mar_2015,
21:36:18,1,40,32.5,100.6,90,100,99,81,34,03_Mar_2015,
21:36:23,1,40,32.5,100,90,100,99,81,34,03_Mar_2015,
21:36:28,1,40,31,100.1,82,100,99,73,34,03_Mar_2015,
21:36:33,1,40,31,100.3,82,100,99,73,34,03_Mar_2015,
21:36:38,1,40,31,98.2,82,100,99,73,34,03_Mar_2015,
21:36:43,1,40,29.5,99.1,84,100,100,75,34,03_Mar_2015,
21:36:48,1,40,29.5,101.2,84,100,100,75,34,03_Mar_2015,
21:36:53,1,40,29.5,100.3,84,100,100,75,34,03_Mar_2015,
21:36:58,1,40,28.9,101.7,90,100,99,81,34,03_Mar_2015,
21:37:03,1,40,28.9,102.4,90,100,99,81,34.1,03_Mar_2015,
21:37:08,1,40,28.9,103.1,90,100,99,81,34.1,03_Mar_2015,
21:37:13,1,40,27.8,101.8,90,100,100,81,34.1,03_Mar_2015,
21:37:18,1,40,27.8,106.4,90,100,100,81,34.1,03_Mar_2015,
21:37:23,1,40,27.8,106.5,90,100,100,81,34.1,03_Mar_2015,
21:37:28,1,40,28,108.1,97,100,100,87,34.1,03_Mar_2015,
21:37:33,1,40,28,106.6,97,100,100,87,34.1,03_Mar_2015,
21:37:38,1,40,28,106.3,97,100,100,87,34.1,03_Mar_2015,
21:37:43,1,40,35,106.2,90,100,100,81,34.1,03_Mar_2015,
21:37:48,1,40,35,105.2,90,100,100,81,34.2,03_Mar_2015,
21:37:53,1,40,35,103.5,90,100,100,81,34.2,03_Mar_2015,
21:37:58,1,40,39.6,105.2,95,100,99,85,34.2,03_Mar_2015,
21:38:03,1,40,39.6,105.7,95,100,99,85,34.2,03_Mar_2015,
21:38:08,1,40,39.6,100.3,95,100,99,85,34.2,03_Mar_2015,
21:38:13,1,40,44.2,97.9,98,100,98,88,34.2,03_Mar_2015,
21:38:18,1,40,44.2,96.1,98,100,98,88,34.2,03_Mar_2015,
21:38:23,1,40,44.2,95.3,98,100,98,88,34.2,03_Mar_2015,
21:38:28,1,40,44.9,98.7,95,100,98,85,34.2,03_Mar_2015,
21:38:33,1,40,44.9,101.5,95,100,98,85,34.2,03_Mar_2015,
21:38:38,1,40,44.9,104.4,95,100,98,85,34.2,03_Mar_2015,
21:38:43,1,40,44,102.7,94,100,98,84,34.2,03_Mar_2015,
21:38:48,1,40,44,100.9,94,100,98,84,34.2,03_Mar_2015,
21:38:53,1,40,44,101.3,94,100,98,84,34.2,03_Mar_2015,
21:38:58,1,40,43.6,98.3,94,100,99,84,34.2,03_Mar_2015,
21:39:03,1,40,43.6,99,94,100,99,84,34.2,03_Mar_2015,
21:39:08,1,40,43.6,100.8,94,100,99,84,34.2,03_Mar_2015,
21:39:13,1,40,43.4,100.3,93,100,99,83,34.2,03_Mar_2015,
21:39:18,1,40,43.4,100.2,93,100,99,83,34.2,03_Mar_2015,
21:39:23,1,40,43.4,99.4,93,100,99,83,34.2,03_Mar_2015,
21:39:28,1,40,38.6,103.7,96,100,99,86,34.2,03_Mar_2015,
21:39:33,1,40,38.6,103.6,96,100,99,86,34.2,03_Mar_2015,
21:39:38,1,40,38.6,97.8,96,100,99,86,34.2,03_Mar_2015,
21:39:43,1,40,32.9,96,90,100,98,81,34.2,03_Mar_2015,
21:39:48,1,40,32.9,102.6,90,100,98,81,34.2,03_Mar_2015,
21:39:53,1,40,32.9,103.4,90,100,98,81,34.2,03_Mar_2015,
21:39:58,1,40,34.1,103.6,70,100,98,63,34.2,03_Mar_2015,
21:40:03,1,40,34.1,99,70,100,98,63,34.2,03_Mar_2015,
21:40:08,1,40,34.1,99,70,100,98,63,34.2,03_Mar_2015,
21:40:13,1,40,33.5,97.8,68,100,99,61,34.2,03_Mar_2015,
21:40:18,1,40,33.5,97.7,68,100,99,61,34.2,03_Mar_2015,
21:40:23,1,40,33.5,96,68,100,99,61,34.2,03_Mar_2015,
21:40:28,1,40,30.2,100.4,72,100,99,64,34.2,03_Mar_2015,
21:40:33,1,40,30.2,102.6,72,100,99,64,34.3,03_Mar_2015,
21:40:38,1,40,30.2,101.4,72,100,99,64,34.3,03_Mar_2015,
