time,motion,body position,BR derived by Belt,HR derived by ECG,Belt Quality,ECG Quality,HR confidence,BR confidence,Day,DF
16:44:18,1,10,37.4,74.1,100,100,98,90,04_Feb_2015,
16:44:23,1,10,37.4,70.9,100,100,98,90,04_Feb_2015,
16:44:28,1,10,34,67.5,100,71,84,90,04_Feb_2015,
16:44:33,1,10,34,67.3,100,71,84,90,04_Feb_2015,
16:44:38,1,10,34,67.6,100,71,84,90,04_Feb_2015,
16:44:43,1,10,28.4,72.5,100,77,88,90,04_Feb_2015,
16:44:48,1,10,28.4,70.5,100,77,88,90,04_Feb_2015,
16:44:53,1,10,28.4,71.6,100,77,88,90,04_Feb_2015,
16:44:58,1,10,24.8,67.7,97,95,96,87,04_Feb_2015,
16:45:03,1,10,24.8,66.8,97,95,96,87,04_Feb_2015,
16:45:08,1,10,24.8,67.9,97,95,96,87,04_Feb_2015,
16:45:13,1,10,25.7,70.3,84,100,97,75,04_Feb_2015,
16:45:18,1,10,25.7,66.6,84,100,97,75,04_Feb_2015,
16:45:23,1,10,25.7,66.4,84,100,97,75,04_Feb_2015,
16:45:28,1,10,24.4,65.8,84,100,99,75,04_Feb_2015,
16:45:33,1,10,24.4,70.9,84,100,99,75,04_Feb_2015,
16:45:38,1,10,24.4,67.1,84,100,99,75,04_Feb_2015,
16:45:43,1,10,27,68.1,75,100,98,67,04_Feb_2015,
16:45:48,1,10,27,83.7,75,100,98,67,04_Feb_2015,
16:45:53,1,10,27,69.5,75,100,98,67,04_Feb_2015,
16:45:58,1,10,27.1,68.8,85,100,95,76,04_Feb_2015,
16:46:03,1,10,27.1,71.3,85,100,95,76,04_Feb_2015,
16:46:08,1,10,27.1,73.7,85,100,95,76,04_Feb_2015,
16:46:13,1,10,23.7,71.1,91,89,91,81,04_Feb_2015,
16:46:18,1,10,23.7,71.6,91,89,91,81,04_Feb_2015,
16:46:23,1,10,23.7,68.3,91,89,91,81,04_Feb_2015,
16:46:28,1,10,22.6,70.1,86,100,95,77,04_Feb_2015,
16:46:33,1,10,22.6,73.9,86,100,95,77,04_Feb_2015,
16:46:38,1,10,22.6,70,86,100,95,77,04_Feb_2015,
16:46:43,1,10,21.4,71.5,87,100,97,78,04_Feb_2015,
16:46:48,1,10,21.4,71.8,87,100,97,78,04_Feb_2015,
16:46:53,1,10,21.4,68.5,87,100,97,78,04_Feb_2015,
16:46:58,1,10,19.8,69.5,85,100,99,76,04_Feb_2015,
16:47:03,1,10,19.8,69.8,85,100,99,76,04_Feb_2015,
16:47:08,1,10,19.8,66.4,85,100,99,76,04_Feb_2015,
16:47:13,1,10,23.8,71.3,74,100,98,66,04_Feb_2015,
16:47:18,1,10,23.8,67.6,74,100,98,66,04_Feb_2015,
16:47:23,1,10,23.8,71.3,74,100,98,66,04_Feb_2015,
16:47:28,1,10,25.9,70.6,87,100,96,78,04_Feb_2015,
16:47:33,1,10,25.9,68.8,87,100,96,78,04_Feb_2015,
16:47:38,1,10,25.9,66.2,87,100,96,78,04_Feb_2015,
16:47:43,1,10,29.1,73.4,92,100,95,82,04_Feb_2015,
16:47:48,1,10,29.1,73.6,92,100,95,82,04_Feb_2015,
16:47:53,1,10,29.1,70.1,92,100,95,82,04_Feb_2015,
