time,motion,body position,BR derived by Belt,HR derived by ECG,Belt Quality,ECG Quality,HR confidence,BR confidence,Skin Temperature,Day,DF
19:55:12,2,40,35,156.8,96,75,66,86,nan,03_Mar_2015,
19:55:17,2,40,35,nan,96,75,66,86,23.4,03_Mar_2015,
19:55:22,2,40,35,nan,96,75,66,86,23.4,03_Mar_2015,
19:55:27,2,40,45,146.4,86,68,36,77,23.4,03_Mar_2015,
19:55:32,2,40,45,nan,86,68,36,77,23.5,03_Mar_2015,
19:55:37,2,40,45,nan,86,68,36,77,23.5,03_Mar_2015,
19:55:42,2,40,44.5,166.8,85,57,29,76,23.5,03_Mar_2015,
19:55:47,2,40,44.5,116.3,85,57,29,76,23.6,03_Mar_2015,
19:55:52,1,40,44.5,85.9,85,57,29,76,23.6,03_Mar_2015,
19:55:57,1,40,45.6,126.9,77,71,48,69,23.6,03_Mar_2015,
19:56:02,1,40,45.6,74.9,77,71,48,69,23.8,03_Mar_2015,
19:56:07,2,40,45.6,107.5,77,71,48,69,23.8,03_Mar_2015,
19:56:12,2,50,48.5,133,81,28,49,72,23.8,03_Mar_2015,
19:56:17,2,40,48.5,147.9,81,28,49,72,24,03_Mar_2015,
19:56:22,2,40,48.5,nan,81,28,49,72,24,03_Mar_2015,
19:56:27,2,40,42.8,nan,86,40,42,77,24,03_Mar_2015,
19:56:32,2,40,42.8,nan,86,40,42,77,24.2,03_Mar_2015,
19:56:37,2,40,42.8,93.9,86,40,42,77,24.2,03_Mar_2015,
19:56:42,2,40,45.5,174.2,84,63,37,75,24.2,03_Mar_2015,
19:56:47,2,40,45.5,166.7,84,63,37,75,24.5,03_Mar_2015,
19:56:52,1,40,45.5,117.2,84,63,37,75,24.5,03_Mar_2015,
19:56:57,1,40,41.3,111.9,89,38,36,80,24.5,03_Mar_2015,
19:57:02,2,40,41.3,nan,89,38,36,80,24.7,03_Mar_2015,
19:57:07,2,50,41.3,nan,89,38,36,80,24.7,03_Mar_2015,
19:57:12,2,40,37,nan,88,89,42,79,24.7,03_Mar_2015,
19:57:17,1,50,37,57.2,88,89,42,79,24.9,03_Mar_2015,
19:57:22,1,50,37,74.5,88,89,42,79,24.9,03_Mar_2015,
19:57:27,1,50,39,72.1,87,83,50,78,24.9,03_Mar_2015,
19:57:32,1,50,39,nan,87,83,50,78,25.2,03_Mar_2015,
