time,motion,body position,BR derived by Belt,HR derived by ECG,Belt Quality,ECG Quality,HR confidence,BR confidence,Skin Temperature,Day,DF
11:34:28,1,10,25.4,129.1,71,71,80,63,25.2,18_Mar_2015,
11:34:33,1,10,25.4,75.4,71,71,80,63,25.2,18_Mar_2015,
11:34:39,1,10,24.9,92.6,67,57,69,60,25.2,18_Mar_2015,
11:34:43,1,10,24.9,69.2,67,57,69,60,25.2,18_Mar_2015,
11:34:48,2,10,24.9,67.5,67,57,69,60,25.2,18_Mar_2015,
11:34:54,2,10,29.1,121.2,67,0,42,60,25.2,18_Mar_2015,
11:34:58,2,10,29.1,115,67,0,42,60,25.2,18_Mar_2015,
11:35:03,2,10,29.1,129.5,67,0,42,60,25.2,18_Mar_2015,
11:35:09,2,10,32.4,108.6,65,38,49,58,25.2,18_Mar_2015,
11:35:13,1,20,32.4,95.7,65,38,49,58,25.2,18_Mar_2015,
11:35:18,1,20,32.4,110.9,65,38,49,58,25.2,18_Mar_2015,
11:35:24,2,20,32.3,nan,78,31,35,70,25.2,18_Mar_2015,
11:35:28,2,20,32.3,120.8,78,31,35,70,25.2,18_Mar_2015,
11:35:33,2,20,32.3,110.4,78,31,35,70,25.2,18_Mar_2015,
11:35:38,2,20,33.1,125.3,75,50,45,67,25.2,18_Mar_2015,
11:35:43,2,20,33.1,111.5,75,50,45,67,25.2,18_Mar_2015,
11:35:49,2,10,33.1,134.2,75,50,45,67,25.2,18_Mar_2015,
11:35:54,2,10,30.4,nan,63,65,50,56,25.2,18_Mar_2015,
11:35:58,2,10,30.4,119.8,63,65,50,56,25.3,18_Mar_2015,
11:36:03,2,10,30.4,128.4,63,65,50,56,25.3,18_Mar_2015,
11:36:09,2,10,27.7,176.1,52,52,41,46,25.3,18_Mar_2015,
11:36:13,1,10,27.7,104.9,52,52,41,46,25.3,18_Mar_2015,
11:36:18,1,10,27.7,nan,52,52,41,46,25.3,18_Mar_2015,
11:36:24,2,20,29.3,150.4,41,62,49,36,25.3,18_Mar_2015,
11:36:28,1,10,29.3,176.3,41,62,49,36,25.6,18_Mar_2015,
11:36:33,2,10,29.3,113.8,41,62,49,36,25.6,18_Mar_2015,
11:36:39,2,10,32.8,177.2,55,67,44,49,25.6,18_Mar_2015,
11:36:43,2,10,32.8,124,55,67,44,49,25.8,18_Mar_2015,
11:36:48,2,10,32.8,nan,55,67,44,49,25.8,18_Mar_2015,
11:36:54,2,10,34,146.9,66,57,40,59,25.8,18_Mar_2015,
11:36:58,2,10,34,126.4,66,57,40,59,26.1,18_Mar_2015,
11:37:03,2,10,34,168.6,66,57,40,59,26.1,18_Mar_2015,
11:37:09,2,10,34.5,nan,80,69,42,72,26.1,18_Mar_2015,
11:37:13,2,10,34.5,138.5,80,69,42,72,26.2,18_Mar_2015,
11:37:18,1,10,34.5,61.7,80,69,42,72,26.2,18_Mar_2015,
11:37:24,2,10,32.1,112,79,43,37,71,26.2,18_Mar_2015,
11:37:28,2,10,32.1,147.9,79,43,37,71,26.4,18_Mar_2015,
11:37:33,2,10,32.1,121.9,79,43,37,71,26.4,18_Mar_2015,
11:37:39,1,10,30.8,105.1,88,50,51,79,26.4,18_Mar_2015,
11:37:43,2,10,30.8,150.4,88,50,51,79,26.5,18_Mar_2015,
11:37:48,2,10,30.8,173.2,88,50,51,79,26.5,18_Mar_2015,
11:37:54,2,20,31.6,158.8,94,55,43,84,26.5,18_Mar_2015,
11:37:58,2,20,31.6,126.5,94,55,43,84,26.6,18_Mar_2015,
11:38:03,1,20,31.6,109.8,94,55,43,84,26.6,18_Mar_2015,
11:38:09,1,20,33,118.3,94,33,37,84,26.6,18_Mar_2015,
11:38:13,1,20,33,141.1,94,33,37,84,26.8,18_Mar_2015,
11:38:18,1,20,33,118.2,94,33,37,84,26.8,18_Mar_2015,
11:38:24,1,10,34.9,85.5,84,54,55,75,26.8,18_Mar_2015,
11:38:28,1,10,34.9,77.7,84,54,55,75,26.9,18_Mar_2015,
11:38:33,1,10,34.9,87.6,84,54,55,75,26.9,18_Mar_2015,
11:38:39,1,10,35.6,119.7,86,92,75,77,26.9,18_Mar_2015,
11:38:43,1,10,35.6,71.1,86,92,75,77,27,18_Mar_2015,
11:38:48,2,10,35.6,176.2,86,92,75,77,27,18_Mar_2015,
11:38:54,2,10,32.6,144.9,75,68,63,67,27,18_Mar_2015,
